,iso_code,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,tests_units
4579,FRA,France,2020-03-08,716,103,10,1,10.969000000000001,1.578,0.153,0.015,11071.0,1576.0,0.17,0.024,tests performed
4580,FRA,France,2020-03-09,1126,410,19,9,17.25,6.281000000000001,0.29100000000000004,0.138,12667.0,1596.0,0.19399999999999998,0.024,tests performed
4581,FRA,France,2020-03-10,1412,286,30,11,21.631999999999998,4.382,0.46,0.16899999999999998,15018.0,2351.0,0.23,0.036000000000000004,tests performed
4582,FRA,France,2020-03-11,1784,372,33,3,27.331,5.699,0.506,0.046,,,,,
4583,FRA,France,2020-03-12,2281,497,48,15,34.945,7.614,0.735,0.23,,,,,
4584,FRA,France,2020-03-13,2876,595,61,13,44.06100000000001,9.115,0.935,0.19899999999999998,,,,,
4585,FRA,France,2020-03-14,3661,785,79,18,56.086999999999996,12.026,1.21,0.276,,,,,
4586,FRA,France,2020-03-15,4499,838,91,12,68.925,12.838,1.3940000000000001,0.184,36747.0,,0.563,,tests performed
4587,FRA,France,2020-03-16,5423,924,127,36,83.081,14.155999999999999,1.946,0.552,,,,,
4588,FRA,France,2020-03-17,6633,1210,148,21,101.619,18.537,2.267,0.322,,,,,
4589,FRA,France,2020-03-18,7730,1097,175,27,118.425,16.805999999999997,2.681,0.414,,,,,
4590,FRA,France,2020-03-19,9134,1404,244,69,139.934,21.509,3.738,1.057,,,,,
4591,FRA,France,2020-03-20,10995,1861,372,128,168.445,28.511,5.699,1.9609999999999999,,,,,
4592,FRA,France,2020-03-21,12612,1617,450,78,193.218,24.773000000000003,6.894,1.195,,,,,
4593,FRA,France,2020-03-22,14459,1847,562,112,221.514,28.296,8.61,1.716,,,,,
4594,FRA,France,2020-03-23,16018,1559,674,112,245.398,23.884,10.325999999999999,1.716,,,,,
4595,FRA,France,2020-03-24,19856,3838,860,186,304.197,58.799,13.175,2.85,107546.0,,1.6480000000000001,,tests performed
4596,FRA,France,2020-03-25,22302,2446,1100,240,341.67,37.473,16.852,3.677,,,,,
4597,FRA,France,2020-03-26,25233,2931,1331,231,386.57300000000004,44.903,20.391,3.5389999999999997,,,,,
4598,FRA,France,2020-03-27,29155,3922,1696,365,446.659,60.086000000000006,25.983,5.5920000000000005,,,,,
4599,FRA,France,2020-03-28,32964,3809,1995,299,505.01300000000003,58.354,30.564,4.581,,,,,
4600,FRA,France,2020-03-29,37575,4611,2314,319,575.655,70.641,35.451,4.887,,,,,
4601,FRA,France,2020-03-30,40174,2599,2606,292,615.472,39.817,39.924,4.473,,,,,
4602,FRA,France,2020-03-31,44550,4376,3024,418,682.513,67.041,46.328,6.404,224254.0,,3.4360000000000004,,tests performed
4603,FRA,France,2020-04-01,52128,7578,3523,499,798.6089999999999,116.096,53.973,7.645,,,,,
4604,FRA,France,2020-04-02,56989,4861,4032,509,873.08,74.471,61.771,7.797999999999999,,,,,
4605,FRA,France,2020-04-03,59105,2116,4503,471,905.497,32.417,68.987,7.216,,,,,
4606,FRA,France,2020-04-04,64338,5233,6507,2004,985.668,80.17,99.68799999999999,30.701999999999998,,,,,
4607,FRA,France,2020-04-05,68605,4267,7560,1053,1051.039,65.37100000000001,115.82,16.132,,,,,
4608,FRA,France,2020-04-06,70478,1873,8078,518,1079.734,28.695,123.756,7.936,,,,,
4609,FRA,France,2020-04-07,74390,3912,8911,833,1139.6660000000002,59.931999999999995,136.518,12.762,333807.0,,5.114,,tests performed
4610,FRA,France,2020-04-08,78167,3777,10328,1417,1197.53,57.864,158.227,21.709,,,,,
4611,FRA,France,2020-04-09,82048,3881,10869,541,1256.988,59.458,166.515,8.288,,,,,
4612,FRA,France,2020-04-10,86334,4286,12210,1341,1322.65,65.66199999999999,187.05900000000003,20.544,,,,,
4613,FRA,France,2020-04-11,90676,4342,13197,987,1389.17,66.52,202.18,15.120999999999999,,,,,
4614,FRA,France,2020-04-12,93790,3114,13832,635,1436.8770000000002,47.707,211.908,9.728,,,,,
4615,FRA,France,2020-04-13,95403,1613,14393,561,1461.588,24.711,220.503,8.595,,,,,
4616,FRA,France,2020-04-14,98076,2673,14967,574,1502.539,40.951,229.297,8.794,463662.0,,7.103,,tests performed
4617,FRA,France,2020-04-15,103573,5497,15729,762,1586.754,84.215,240.97099999999998,11.674000000000001,,,,,
4618,FRA,France,2020-04-16,106206,2633,17167,1438,1627.092,40.338,263.001,22.03,,,,,
4619,FRA,France,2020-04-17,108847,2641,17920,753,1667.5520000000001,40.461,274.53700000000003,11.536,,,,,
4620,FRA,France,2020-04-18,109252,405,18681,761,1673.757,6.205,286.19599999999997,11.659,,,,,
4621,FRA,France,2020-04-19,111821,2569,19323,642,1713.115,39.357,296.031,9.836,,,,,
